                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.3757,                 0.9869,                 0.9536,                0.42831,                0.31818,                0.31793,                 0.1835,                 1.3404,                0.98101,                0.94324,                0.00274,                0.00274,                0.00274
                    112,                 1.3575,                0.97428,                0.95178,                 0.4267,                0.31798,                0.31797,                0.18367,                 1.3408,                0.98132,                0.94363,               0.002674,               0.002674,               0.002674
                    113,                  1.368,                 0.9749,                0.95143,                0.42676,                0.31684,                0.31778,                0.18351,                 1.3402,                0.98158,                0.94361,               0.002608,               0.002608,               0.002608
                    114,                 1.3611,                0.97419,                 0.9507,                0.42384,                0.31876,                0.31805,                0.18425,                 1.3396,                0.98107,                0.94325,               0.002542,               0.002542,               0.002542
                    115,                 1.3661,                0.97437,                0.95246,                0.42139,                0.32122,                0.31806,                0.18385,                 1.3405,                0.98112,                0.94343,               0.002476,               0.002476,               0.002476
                    116,                 1.3736,                0.97746,                0.95279,                0.42007,                0.32142,                0.31846,                0.18385,                 1.3395,                0.98071,                0.94332,                0.00241,                0.00241,                0.00241
                    117,                 1.3607,                0.97008,                0.94999,                0.42177,                0.32009,                0.31815,                0.18379,                 1.3393,                0.98091,                0.94318,               0.002344,               0.002344,               0.002344
                    118,                 1.3626,                0.96893,                0.94958,                0.42027,                0.32087,                0.31867,                0.18417,                 1.3388,                0.98081,                 0.9431,               0.002278,               0.002278,               0.002278
                    119,                 1.3647,                0.97338,                0.95209,                0.42277,                0.32173,                0.31914,                0.18413,                  1.338,                0.98013,                0.94296,               0.002212,               0.002212,               0.002212
                    120,                 1.3562,                0.96547,                0.95161,                0.42398,                0.32166,                0.31911,                0.18395,                 1.3378,                0.98027,                0.94279,               0.002146,               0.002146,               0.002146
                    121,                 1.3668,                 0.9704,                0.95008,                 0.4197,                0.32422,                0.31989,                0.18403,                 1.3384,                0.98053,                0.94279,                0.00208,                0.00208,                0.00208
                    122,                 1.3521,                0.96257,                0.94817,                 0.4204,                0.32274,                0.31926,                0.18361,                  1.339,                0.97989,                0.94285,               0.002014,               0.002014,               0.002014
                    123,                 1.3556,                0.96163,                0.94898,                0.41999,                0.32222,                0.31934,                0.18382,                 1.3387,                0.97985,                 0.9428,               0.001948,               0.001948,               0.001948
                    124,                 1.3601,                0.96416,                0.95141,                0.42014,                0.32281,                0.32013,                0.18411,                 1.3381,                0.97911,                0.94259,               0.001882,               0.001882,               0.001882
                    125,                 1.3509,                0.95375,                0.94612,                0.42156,                0.32281,                 0.3203,                0.18449,                 1.3382,                0.97915,                0.94249,               0.001816,               0.001816,               0.001816
                    126,                 1.3501,                0.95184,                0.94903,                0.42031,                0.32424,                0.32057,                 0.1845,                  1.338,                0.97897,                0.94262,                0.00175,                0.00175,                0.00175
                    127,                 1.3457,                0.95645,                0.94741,                0.42035,                 0.3254,                0.32027,                0.18455,                 1.3377,                0.97866,                0.94263,               0.001684,               0.001684,               0.001684
                    128,                 1.3481,                0.95374,                0.94433,                0.42174,                0.32487,                0.32062,                0.18472,                 1.3376,                0.97886,                0.94275,               0.001618,               0.001618,               0.001618
                    129,                 1.3405,                0.94478,                0.94588,                0.42241,                0.32527,                0.32032,                0.18461,                 1.3376,                0.97882,                0.94271,               0.001552,               0.001552,               0.001552
                    130,                 1.3496,                 0.9516,                0.94852,                 0.4241,                0.32468,                 0.3208,                0.18482,                 1.3377,                 0.9787,                0.94288,               0.001486,               0.001486,               0.001486
                    131,                 1.3565,                0.95729,                0.94701,                0.42202,                 0.3254,                0.32089,                0.18495,                 1.3372,                0.97824,                0.94272,                0.00142,                0.00142,                0.00142
                    132,                 1.3467,                 0.9464,                0.94682,                0.42527,                0.32358,                0.32089,                0.18495,                 1.3372,                0.97811,                0.94268,               0.001354,               0.001354,               0.001354
                    133,                 1.3424,                0.94451,                0.94681,                0.42601,                0.32257,                0.32062,                0.18501,                 1.3375,                0.97766,                0.94259,               0.001288,               0.001288,               0.001288
                    134,                 1.3449,                0.94774,                0.94595,                0.42183,                 0.3252,                0.32107,                0.18499,                 1.3369,                0.97731,                0.94238,               0.001222,               0.001222,               0.001222
                    135,                 1.3404,                0.94453,                0.94333,                0.42297,                0.32534,                0.32143,                0.18536,                 1.3368,                 0.9771,                0.94242,               0.001156,               0.001156,               0.001156
                    136,                 1.3414,                0.94128,                0.94638,                0.42086,                0.32572,                0.32148,                 0.1855,                 1.3369,                0.97693,                0.94248,                0.00109,                0.00109,                0.00109
                    137,                 1.3355,                0.94166,                 0.9435,                0.42201,                0.32645,                0.32198,                 0.1858,                 1.3369,                0.97669,                 0.9426,               0.001024,               0.001024,               0.001024
                    138,                  1.347,                0.94522,                 0.9468,                0.41935,                0.32841,                0.32237,                0.18591,                 1.3369,                0.97719,                0.94262,               0.000958,               0.000958,               0.000958
                    139,                 1.3341,                0.93496,                0.94315,                0.41903,                0.32787,                0.32178,                0.18566,                 1.3371,                0.97729,                0.94266,               0.000892,               0.000892,               0.000892
                    140,                   1.33,                0.93603,                0.94451,                0.42124,                0.32728,                0.32149,                0.18555,                 1.3371,                0.97691,                 0.9426,               0.000826,               0.000826,               0.000826
                    141,                  1.318,                0.92037,                0.95175,                0.42143,                0.32757,                0.32177,                0.18578,                  1.337,                0.97726,                0.94257,                0.00076,                0.00076,                0.00076
                    142,                 1.3093,                0.90514,                0.94793,                0.42291,                0.32746,                 0.3215,                0.18581,                 1.3372,                0.97769,                0.94257,               0.000694,               0.000694,               0.000694
                    143,                 1.3044,                0.89704,                0.94672,                0.42352,                 0.3265,                0.32181,                0.18598,                 1.3374,                0.97749,                0.94254,               0.000628,               0.000628,               0.000628
                    144,                 1.3079,                0.90011,                0.94899,                0.42439,                0.32621,                0.32219,                0.18606,                 1.3375,                0.97762,                0.94264,               0.000562,               0.000562,               0.000562
                    145,                 1.2961,                0.89469,                0.94707,                0.42518,                0.32525,                0.32177,                0.18607,                 1.3373,                0.97756,                 0.9426,               0.000496,               0.000496,               0.000496
                    146,                  1.294,                0.88795,                0.94317,                0.42389,                0.32588,                0.32171,                0.18607,                 1.3377,                 0.9776,                 0.9426,                0.00043,                0.00043,                0.00043
                    147,                 1.2975,                0.89229,                 0.9442,                 0.4238,                0.32719,                0.32203,                0.18625,                  1.338,                0.97745,                0.94272,               0.000364,               0.000364,               0.000364
                    148,                 1.2956,                0.89015,                0.94546,                0.42513,                0.32643,                0.32207,                 0.1861,                 1.3383,                 0.9775,                0.94275,               0.000298,               0.000298,               0.000298
                    149,                 1.2885,                 0.8836,                0.94306,                0.42546,                0.32629,                0.32179,                0.18613,                 1.3383,                0.97755,                0.94274,               0.000232,               0.000232,               0.000232
                    150,                 1.2874,                0.88298,                0.94486,                0.42557,                0.32674,                0.32192,                0.18603,                 1.3386,                0.97795,                0.94282,               0.000166,               0.000166,               0.000166
